"","geo","time","values"
"2866","LU",2001-04-01,5219.7
"2867","LV",2001-04-01,2178.7
"2868","MK",2001-04-01,890.4
"2869","MT",2001-04-01,1031.7
"2870","NL",2001-04-01,108454
"2871","NO",2001-04-01,42695.8
"2872","PL",2001-04-01,48329.3
"2873","PT",2001-04-01,30030.9
"2874","RO",2001-04-01,9819.3
"2875","SE",2001-04-01,61785.2
"2876","SI",2001-04-01,5174.4
"2877","SK",2001-04-01,5567.2
"2878","TR",2001-04-01,49347.2
"2879","UK",2001-04-01,407251.3
"2880","AT",2001-01-01,47359.2
"2881","BE",2001-01-01,58164
"2882","BG",2001-01-01,2847.8
"2883","CH",2001-01-01,72574.9
"2884","CY",2001-01-01,2434.3
"2885","CZ",2001-01-01,15196.1
"2886","DE",2001-01-01,478003
"2887","DK",2001-01-01,37975.2
"2888","EA",2001-01-01,1580769.8
"2889","EA12",2001-01-01,1580769.8
"2890","EA19",2001-01-01,1599611.4
"2891","EE",2001-01-01,1411.3
"2892","EL",2001-01-01,30988
"2893","ES",2001-01-01,148318
"2894","EU15",2001-01-01,2075426.6
"2895","EU27_2019",2001-01-01,1780602.5
"2896","EU28",2001-01-01,2178405.4
"2897","FI",2001-01-01,30378
"2898","FR",2001-01-01,342582
"2899","HR",2001-01-01,4878.4
"2900","HU",2001-01-01,11157
"2901","IE",2001-01-01,26761.8
"2902","IT",2001-01-01,279329.1
"2903","LT",2001-01-01,2661
"2904","LU",2001-01-01,5198.9
"2905","LV",2001-01-01,1808
"2906","MK",2001-01-01,835.2
"2907","MT",2001-01-01,908.8
"2908","NL",2001-01-01,105870
"2909","NO",2001-01-01,42989.4
"2910","PL",2001-01-01,42441.4
"2911","PT",2001-01-01,28128.4
"2912","RO",2001-01-01,7726.9
"2913","SE",2001-01-01,58894.8
"2914","SI",2001-01-01,4779.8
"2915","SK",2001-01-01,4845.9
"2916","TR",2001-01-01,53579.3
"2917","UK",2001-01-01,397875.4
"2918","AT",2000-10-01,50115.1
"2919","BE",2000-10-01,60455
"2920","BG",2000-10-01,3627.8
"2921","CH",2000-10-01,74117.5
"2922","CY",2000-10-01,2517.1
"2923","CZ",2000-10-01,16492.9
"2924","DE",2000-10-01,490678
"2925","DK",2000-10-01,40910.3
"2926","EA",2000-10-01,1606280.7
"2927","EA12",2000-10-01,1640296.8
"2928","EA19",2000-10-01,1660633.7
"2929","EE",2000-10-01,1482.4
"2930","EL",2000-10-01,34003.2
"2931","ES",2000-10-01,158245
"2932","EU15",2000-10-01,2159913.4
