"","nace_r2","geo","time","values"
"365","Manufacturing","Finland",2017-07-01,8023.9
"366","Manufacturing","France",2017-07-01,55494.7
"367","Manufacturing","Hungary",2017-07-01,4935.1
"368","Manufacturing","Italy",2017-07-01,55690.9
"369","Manufacturing","Lithuania",2017-07-01,1433.3
"370","Manufacturing","Luxembourg",2017-07-01,508.6
"371","Manufacturing","Latvia",2017-07-01,436.1
"372","Construction","Switzerland",2017-07-01,4860.9
"373","Construction","Cyprus",2017-07-01,194
"374","Construction","Czechia",2017-07-01,1819.1
"375","Construction","Finland",2017-07-01,2754.9
"376","Construction","France",2017-07-01,18815.1
"377","Construction","Italy",2017-07-01,13645.4
"378","Construction","Lithuania",2017-07-01,500.8
"379","Construction","Luxembourg",2017-07-01,454.6
"380","Construction","Latvia",2017-07-01,265
"381","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2017-07-01,22701.6
"382","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2017-07-01,1123.1
"383","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2017-07-01,6521
"384","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2017-07-01,6740.3
"385","Wholesale and retail trade, transport, accomodation and food service activities","France",2017-07-01,84178.1
"386","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2017-07-01,72778.5
"387","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2017-07-01,2189.5
"388","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2017-07-01,1407.6
"389","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2017-07-01,1268.5
"390","Information and communication","Switzerland",2017-07-01,4134.8
"391","Information and communication","Cyprus",2017-07-01,205.3
"392","Information and communication","Czechia",2017-07-01,1964.1
"393","Information and communication","Finland",2017-07-01,2539.7
"394","Information and communication","France",2017-07-01,31384.2
"395","Information and communication","Italy",2017-07-01,16609
"396","Information and communication","Lithuania",2017-07-01,342.7
"397","Information and communication","Luxembourg",2017-07-01,595.7
"398","Information and communication","Latvia",2017-07-01,162.2
"399","Financial and insurance activities","Switzerland",2017-07-01,10929.3
"400","Financial and insurance activities","Cyprus",2017-07-01,326.5
"401","Financial and insurance activities","Czechia",2017-07-01,1623.7
"402","Financial and insurance activities","Finland",2017-07-01,1023.3
"403","Financial and insurance activities","France",2017-07-01,17375.7
"404","Financial and insurance activities","Italy",2017-07-01,18989
"405","Financial and insurance activities","Lithuania",2017-07-01,138.7
"406","Financial and insurance activities","Luxembourg",2017-07-01,2266.7
"407","Financial and insurance activities","Latvia",2017-07-01,204.8
"408","Real estate activities","Switzerland",2017-07-01,5772.8
"409","Real estate activities","Cyprus",2017-07-01,375
"410","Real estate activities","Czechia",2017-07-01,2426.9
"411","Real estate activities","Finland",2017-07-01,4228.7
"412","Real estate activities","France",2017-07-01,55258.2
"413","Real estate activities","Italy",2017-07-01,41877.3
"414","Real estate activities","Lithuania",2017-07-01,390.1
"415","Real estate activities","Luxembourg",2017-07-01,890.6
"416","Real estate activities","Latvia",2017-07-01,444.7
"417","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2017-07-01,8776.7
"418","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2017-07-01,359.6
"419","Professional, scientific and technical activities; administrative and support service activities","Czechia",2017-07-01,2116.7
"420","Professional, scientific and technical activities; administrative and support service activities","Finland",2017-07-01,2819.6
"421","Professional, scientific and technical activities; administrative and support service activities","France",2017-07-01,59530.6
"422","Professional, scientific and technical activities; administrative and support service activities","Italy",2017-07-01,29110.8
