,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Республика Алтай,256,248,504,287,791,272,1063,331,1394,307,1701,275,1976,323,2299,277,2576,314,2890,269,3159,284,3443,266,235,501,322,823,285,1108,272,1380,313,1693,266,1959,298,2257,274,2531,302,2833,247,3080,249,3329,273
        Республика Бурятия,1202,1006,2208,1311,3519,1128,4647,1189,5836,1191,7027,1239,8266,1284,9550,1215,10765,1319,12084,1126,13210,1105,14315,1145,1071,2216,1189,3405,1091,4496,1198,5694,1158,6852,1296,8148,1231,9379,1060,10439,1281,11720,1096,12816,1076,13892,1131
        Республика Тыва,600,477,1077,674,1751,539,2290,609,2899,577,3476,572,4048,635,4683,565,5248,630,5878,527,6405,572,6977,579,494,1073,606,1679,506,2185,510,2695,512,3207,603,3810,644,4454,527,4981,567,5548,521,6069,533,6602,553
        Республика Хакасия,522,494,1016,591,1607,540,2147,610,2757,582,3339,583,3922,572,4494,569,5063,568,5631,508,6139,523,6662,536,502,1038,477,1515,482,1997,540,2537,544,3081,593,3674,565,4239,500,4739,588,5327,471,5798,443,6241,441
        Алтайский край,2009,1966,3975,2243,6218,1947,8165,2297,10462,2215,12677,2115,14792,2457,17249,2124,19373,2195,21568,2058,23626,1899,25525,2049,1906,3955,1896,5851,1785,7636,1919,9555,2028,11583,2154,13737,2241,15978,1885,17863,2104,19967,1812,21779,1698,23477,1807
        Забайкальский край,1145,950,2095,1300,3395,1026,4421,1281,5702,1227,6929,1223,8152,1302,9454,1240,10694,1265,11959,1227,13186,1121,14307,1103,982,2085,1136,3221,1046,4267,1155,5422,1160,6582,1240,7822,1247,9069,1079,10148,1284,11432,1123,12555,1031,13586,682
        Красноярский край,2882,2634,5516,3184,8700,2647,11347,3170,14517,3102,17619,3082,20701,3420,24121,2885,27006,3056,30062,2791,32853,2708,35561,2817,2622,5439,2739,8178,2551,10729,2978,13707,2803,16510,3046,19556,2972,22528,2689,25217,3025,28242,2553,30795,2543,33338,2635
        Иркутская область,2595,2381,4976,2885,7861,2428,10289,2771,13060,2765,15825,2731,18556,2952,21508,2575,24083,2739,26822,2552,29374,2647,32021,2713,2448,5161,2531,7692,2397,10089,2742,12831,2477,15308,2822,18130,2808,20938,2553,23491,2805,26296,2372,28668,2270,30938,2455
        Кемеровская область,2283,2154,4437,2500,6937,2155,9092,2405,11497,2406,13903,2389,16292,2869,19161,2393,21554,2333,23887,2275,26162,2173,28335,2223,2094,4317,2260,6577,2026,8603,2342,10945,2269,13214,2351,15565,2391,17956,2089,20045,2369,22414,2063,24477,1953,26430,2033
        Новосибирская область,2798,2615,5413,3104,8517,2569,11086,3060,14146,2965,17111,3058,20169,3247,23416,2868,26284,2901,29185,2713,31898,2567,34465,2752,2530,5282,2683,7965,2494,10459,2998,13457,2670,16127,2932,19059,2928,21987,2645,24632,2981,27613,2552,30165,2491,32656,2554
        Омская область,1852,1716,3568,2099,5667,1790,7457,1916,9373,1892,11265,1943,13208,2135,15343,1888,17231,1913,19144,1760,20904,1720,22624,1815,1694,3509,1818,5327,1606,6933,1790,8723,1772,10495,1880,12375,2014,14389,1739,16128,1920,18048,1656,19704,1526,21230,1538
        Томская область,871,964,1835,1084,2919,945,3864,1090,4954,1088,6042,1139,7181,1254,8435,1000,9435,1059,10494,1020,11514,1120,12634,880,935,1815,961,2776,880,3656,1119,4775,969,5744,1083,6827,1123,7950,950,8900,1046,9946,927,10873,926,11799,884
        Республика Саха (Якутия),1107,1011,2118,1328,3446,1021,4467,1277,5744,1173,6917,1194,8111,1275,9386,1070,10456,1237,11693,1158,12851,1103,13954,1147,1042,2189,1104,3293,960,4253,1197,5450,1127,6577,1213,7790,1169,8959,1127,10086,1017,11103,961,12064,969,13033,959
        Камчатский край,317,283,600,341,941,261,1202,335,1537,280,1817,319,2136,368,2504,292,2796,337,3133,315,3448,265,3713,333,265,598,250,848,289,1137,335,1472,269,1741,313,2054,319,2373,254,2627,335,2962,273,3235,220,3455,269
        Приморский край,1723,1529,3252,1931,5183,1632,6815,1766,8581,1587,10168,1752,11920,2071,13991,1716,15707,1886,17593,1776,19369,1628,20997,1742,1514,3256,1662,4918,1501,6419,1753,8172,1529,9701,1899,11600,1848,13448,1600,15048,1851,16899,1568,18467,1554,20021,1666
        Хабаровский край,1330,1141,2471,1429,3900,1213,5113,1360,6473,1247,7720,1386,9106,1563,10669,1321,11990,1385,13375,1326,14701,1306,16007,1304,1139,2443,1301,3744,1124,4868,1232,6100,1209,7309,1384,8693,1418,10111,1282,11393,1356,12749,1149,13898,1188,15086,1167
        Амурская область,778,761,1539,897,2436,686,3122,787,3909,778,4687,835,5522,855,6377,763,7140,848,7988,723,8711,719,9430,794,700,1494,771,2265,620,2885,784,3669,694,4363,774,5137,838,5975,720,6695,833,7528,684,8212,677,8889,644
        Магаданская область,126,100,226,137,363,115,478,143,621,150,771,133,904,152,1056,109,1165,154,1319,137,1456,135,1591,114,104,218,95,313,121,434,150,584,98,682,131,813,122,935,109,1044,126,1170,120,1290,90,1380,117
        Сахалинская область,531,469,1000,543,1543,475,2018,526,2544,519,3063,537,3600,583,4183,569,4752,552,5304,505,5809,495,6304,533,436,969,527,1496,416,1912,560,2472,481,2953,543,3496,574,4070,423,4493,610,5103,477,5580,449,6029,449
        Еврейская автономная область,167,147,314,175,489,141,630,166,796,158,954,165,1119,152,1271,164,1435,175,1610,167,1777,142,1919,165,156,321,134,455,149,604,163,767,163,930,170,1100,171,1271,146,1417,160,1577,176,1753,132,1885,156
        Чукотский автономный округ,56,61,117,66,183,41,224,69,293,68,361,53,414,46,460,63,523,47,570,41,611,47,658,44,52,96,60,156,57,213,63,276,41,317,59,376,49,425,43,468,49,517,44,561,60,621,48
